      Step     Time          Energy          fmax
BFGS:    0 12:42:32     -294.341131        4.127825
BFGS:    1 13:19:57     -295.213526        5.196144
BFGS:    2 14:00:38     -296.247607        4.029891
BFGS:    3 14:37:40     -306.010336        4.371922
BFGS:    4 15:06:05     -305.839842        4.193914
BFGS:    5 15:32:17     -306.075711        4.161807
BFGS:    6 15:56:56     -306.642051        4.414283
BFGS:    7 16:20:14     -306.641796        5.055946
BFGS:    8 16:42:49     -306.641670        5.928341
BFGS:    9 17:07:32     -306.639639        6.197278
BFGS:   10 17:32:02     -306.639515        6.183502
BFGS:   11 17:56:11     -306.639151        6.467432
BFGS:   12 18:18:15     -306.638357        6.369980
BFGS:   13 18:39:51     -306.637965        6.234477
BFGS:   14 19:01:50     -306.637568        5.826556
BFGS:   15 19:22:42     -306.637356        5.720696
BFGS:   16 19:44:19     -306.633577        5.212054
BFGS:   17 20:05:37     -306.631236        5.029631
BFGS:   18 20:27:10     -306.625344        5.849820
